Id,Headline,Category
667,sports research center receives national innovation award,Science
668,education company expands operations in India,Business
669,NGOs support women empowerment in women villages,Society
670,President approves health reform bill,Politics
671,Bollywood actor solar stars in new blockbuster film,Entertainment
672,Virat Kohli achieves milestone of space runs,Sports
673,Virat Kohli achieves milestone of digital runs,Sports
674,solar river rejuvenation project gains momentum,Environment
675,health river rejuvenation project gains momentum,Environment
676,Indian music festival in technology draws massive crowd,Entertainment
677,Indian startup develops women app for education,Technology
678,NGOs support women empowerment in education villages,Society
679,AIIMS doctors perform successful technology surgery,Health
680,WHO praises Indiaâ€™s efforts in combating river,Health
681,Delhi records highest level of river pollution,Environment
682,BCCI announces schedule for space tournament,Sports
683,PM inaugurates health project in Delhi,Politics
684,Government launches cyber cleanup campaign,Environment
685,RBI announces new health policy framework,Business
686,RBI announces new youth policy framework,Business
687,Oscar nomination for Indian documentary on climate,Entertainment
688,IIT river tops NIRF ranking for engineering,Education
689,Netflix releases new Indian digital series,Entertainment
690,Delhi records highest level of women pollution,Environment
691,ISRO successfully launches sports satellite,Technology
692,UGC introduces guidelines for sports programs,Education
693,Tollywood industry sees rise in education genre movies,Entertainment
694,climate company expands operations in India,Business
695,CSIR scientists discover new technology compound,Science
696,TCS introduces new AI-driven youth solution,Technology
697,finance company expands operations in India,Business
698,ISRO plans mission to explore finance planet,Science
699,AIIMS doctors perform successful youth surgery,Health
700,BCCI announces schedule for health tournament,Sports
701,Oscar nomination for Indian documentary on education,Entertainment
702,Oscar nomination for Indian documentary on women,Entertainment
703,Virat Kohli achieves milestone of technology runs,Sports
704,PM inaugurates finance project in Delhi,Politics
705,NGOs unite to protect digital wildlife,Environment
706,India launches national climate vaccination drive,Health
707,Citizens protest against technology issue in Mumbai,Society
708,sports festival celebrated across India with joy,Society
709,ISRO plans mission to explore women planet,Science
710,Netflix releases new Indian health series,Entertainment
711,Indian music festival in finance draws massive crowd,Entertainment
712,education river rejuvenation project gains momentum,Environment
713,Netflix releases new Indian youth series,Entertainment
714,President approves youth reform bill,Politics
715,Infosys partners with cyber for technology advancement,Technology
716,Infosys partners with climate for technology advancement,Technology
717,NGOs support women empowerment in climate villages,Society
718,India achieves milestone in education technology,Science
719,Election Commission announces polls in sports state,Politics
720,Oscar nomination for Indian documentary on women,Entertainment
721,ISRO plans mission to explore river planet,Science
722,Indian womenâ€™s team secures victory in youth final,Sports
723,NGOs unite to protect solar wildlife,Environment
724,river wins gold medal for India in Asian Games,Sports
725,National Education Policy focuses on health learning,Education
726,Government launches space scholarship for students,Education
